"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\productos\edit-producto\edit-producto.component.ts", "TypeScript", 0, 0, 302, 0, 0, 0, 0, 0, 1, 35, 338
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\productos\index-producto\index-producto.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\productos\index-producto\index-producto.component.html", "HTML", 0, 0, 0, 0, 270, 0, 0, 0, 89, 55, 414
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\productos\index-producto\index-producto.component.ts", "TypeScript", 0, 0, 125, 0, 0, 0, 0, 0, 0, 31, 156
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\proveedor\create-proveedor\create-proveedor.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\proveedor\create-proveedor\create-proveedor.component.html", "HTML", 0, 0, 0, 0, 81, 0, 0, 0, 48, 18, 147
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\proveedor\create-proveedor\create-proveedor.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\proveedor\create-proveedor\create-proveedor.component.ts", "TypeScript", 0, 0, 64, 0, 0, 0, 0, 0, 0, 12, 76
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\proveedor\index-proveedor\index-proveedor.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\proveedor\index-proveedor\index-proveedor.component.html", "HTML", 0, 0, 0, 0, 177, 0, 0, 0, 51, 33, 261
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\proveedor\index-proveedor\index-proveedor.component.spec.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\proveedor\index-proveedor\index-proveedor.component.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 12, 68
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\reporte\index-reporte\index-reporte.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\reporte\index-reporte\index-reporte.component.html", "HTML", 0, 0, 0, 0, 227, 0, 0, 0, 0, 24, 251
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\reporte\index-reporte\index-reporte.component.ts", "TypeScript", 0, 0, 77, 0, 0, 0, 0, 0, 0, 8, 85
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\roles\create-rol\create-rol.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\roles\create-rol\create-rol.component.html", "HTML", 0, 0, 0, 0, 110, 0, 0, 0, 47, 19, 176
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\roles\create-rol\create-rol.component.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 11, 87
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\roles\edit-rol\edit-rol.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\roles\edit-rol\edit-rol.component.html", "HTML", 0, 0, 0, 0, 109, 0, 0, 0, 47, 19, 175
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\roles\edit-rol\edit-rol.component.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 0, 11, 100
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\roles\index-rol\index-rol.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\roles\index-rol\index-rol.component.html", "HTML", 0, 0, 0, 0, 114, 0, 0, 0, 127, 24, 265
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\roles\index-rol\index-rol.component.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\sidebar\sidebar.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Documents\Ecommer\EcommercePanel\src\app\components\sidebar\sidebar.component.html", "HTML", 0, 0, 0, 0, 221, 0, 0, 0, 41, 14, 276
